invoice_number,vendor_name,address,issued_date,due_date,invoice_status,product_name,quantity,unit_price
67-2023-07-10-Co,Company B,Cuba,2023-07-10,2023-08-03,Paid,AI Solution,1,8685.46
57-2022-10-05-Co,Company A,Uruguay,2022-10-05,2022-10-19,Pending,Mobile App Development,1,3196.11
79-2022-08-01-Co,Company D,Liberia,2022-08-01,2022-08-09,Overdue,UI/UX Design,1,294.28
96-2022-11-30-Co,Company D,Mongolia,2022-11-30,2022-12-16,Overdue,Mobile App Development,1,2720.38
87-2023-03-16-Co,Company D,Cyprus,2023-03-16,2023-04-04,Pending,E-commerce Development,1,2202.77
94-2023-02-10-Co,Company B,New Caledonia,2023-02-10,2023-02-18,Paid,E-commerce Development,1,2700.06
67-2023-05-07-Co,Company C,Montenegro,2023-05-07,2023-05-30,Overdue,AI Solution,1,4154.94
88-2023-02-20-Co,Company C,Kiribati,2023-02-20,2023-03-06,Paid,Web Development,1,845.23
26-2022-08-28-Co,Company A,Chile,2022-08-28,2022-09-10,Overdue,AI Solution,1,5853.75
40-2023-04-23-Co,Company C,Anguilla,2023-04-23,2023-05-14,Overdue,E-commerce Development,1,1546.54
7-2023-04-14-Co,Company B,Ghana,2023-04-14,2023-04-28,Pending,UI/UX Design,1,913.97
90-2023-03-14-Co,Company A,Luxembourg,2023-03-14,2023-03-22,Pending,E-commerce Development,1,1969.0
65-2022-12-10-Co,Company E,Australia,2022-12-10,2022-12-20,Pending,E-commerce Development,1,2423.13
51-2023-03-26-Co,Company D,Lesotho,2023-03-26,2023-04-24,Overdue,Mobile App Development,1,4553.6
89-2022-09-16-Co,Company D,Mexico,2022-09-16,2022-10-10,Paid,UI/UX Design,1,307.41
91-2023-05-03-Co,Company B,Mali,2023-05-03,2023-05-20,Pending,AI Solution,1,8635.25
71-2023-02-23-Co,Company A,Australia,2023-02-23,2023-03-21,Pending,UI/UX Design,1,693.52
34-2023-07-04-Co,Company A,Germany,2023-07-04,2023-07-25,Pending,AI Solution,1,5778.87
29-2022-11-02-Co,Company E,Bangladesh,2022-11-02,2022-12-01,Paid,Mobile App Development,1,4828.61
27-2023-06-02-Co,Company C,Paraguay,2023-06-02,2023-06-15,Overdue,E-commerce Development,1,1236.46
80-2023-06-30-Co,Company B,Western Sahara,2023-06-30,2023-07-25,Pending,Web Development,1,2488.66
90-2022-12-24-Co,Company E,Uzbekistan,2022-12-24,2023-01-02,Overdue,E-commerce Development,1,1590.43
17-2023-01-15-Co,Company D,Denmark,2023-01-15,2023-02-05,Overdue,IoT Solution,1,6149.65
43-2023-07-06-Co,Company B,Romania,2023-07-06,2023-07-30,Overdue,Mobile App Development,1,4754.76
93-2023-06-27-Co,Company C,Netherlands Antilles,2023-06-27,2023-07-16,Pending,E-commerce Development,1,4925.31
